Date,Time,Steps,Source
2024.11.15 08.00,08.00,30,nl.appyhapps.healthsync
2024.11.15 08.15,08.15,17,nl.appyhapps.healthsync
2024.11.15 08.45,08.45,35,nl.appyhapps.healthsync
2024.11.15 09.00,09.00,53,nl.appyhapps.healthsync
2024.11.15 09.30,09.30,47,nl.appyhapps.healthsync
2024.11.15 09.45,09.45,84,nl.appyhapps.healthsync
2024.11.15 10.15,10.15,13,nl.appyhapps.healthsync
2024.11.15 10.30,10.30,269,nl.appyhapps.healthsync
2024.11.15 10.45,10.45,47,nl.appyhapps.healthsync
2024.11.15 11.00,11.00,150,nl.appyhapps.healthsync
2024.11.15 11.15,11.15,208,nl.appyhapps.healthsync
2024.11.15 11.30,11.30,1818,nl.appyhapps.healthsync
2024.11.15 11.45,11.45,2177,nl.appyhapps.healthsync
2024.11.15 12.00,12.00,1591,nl.appyhapps.healthsync
2024.11.15 12.15,12.15,249,nl.appyhapps.healthsync
2024.11.15 12.30,12.30,1569,nl.appyhapps.healthsync
2024.11.15 12.45,12.45,943,nl.appyhapps.healthsync
2024.11.15 13.15,13.15,55,nl.appyhapps.healthsync
2024.11.15 13.30,13.30,173,nl.appyhapps.healthsync
2024.11.15 13.45,13.45,52,nl.appyhapps.healthsync
2024.11.15 14.30,14.30,45,nl.appyhapps.healthsync
2024.11.15 15.15,15.15,9,nl.appyhapps.healthsync
2024.11.15 16.00,16.00,169,nl.appyhapps.healthsync
2024.11.15 16.45,16.45,120,nl.appyhapps.healthsync
2024.11.15 17.45,17.45,52,nl.appyhapps.healthsync
2024.11.15 18.00,18.00,230,nl.appyhapps.healthsync
2024.11.15 18.15,18.15,64,nl.appyhapps.healthsync
2024.11.15 18.30,18.30,28,nl.appyhapps.healthsync
2024.11.15 19.00,19.00,190,nl.appyhapps.healthsync
2024.11.15 19.15,19.15,76,nl.appyhapps.healthsync
2024.11.15 19.30,19.30,106,nl.appyhapps.healthsync
2024.11.15 19.45,19.45,25,nl.appyhapps.healthsync
2024.11.15 20.00,20.00,47,nl.appyhapps.healthsync
2024.11.15 20.15,20.15,9,nl.appyhapps.healthsync
2024.11.15 20.45,20.45,46,nl.appyhapps.healthsync
2024.11.15 21.15,21.15,20,nl.appyhapps.healthsync
2024.11.15 21.30,21.30,15,nl.appyhapps.healthsync
2024.11.15 22.00,22.00,91,nl.appyhapps.healthsync
2024.11.15 22.45,22.45,94,nl.appyhapps.healthsync
2024.11.15 23.00,23.00,15,nl.appyhapps.healthsync
2024.11.16 04.45,04.45,9,nl.appyhapps.healthsync
2024.11.16 08.00,08.00,8,nl.appyhapps.healthsync
2024.11.16 08.45,08.45,228,nl.appyhapps.healthsync
2024.11.16 09.00,09.00,124,nl.appyhapps.healthsync
2024.11.16 09.15,09.15,121,nl.appyhapps.healthsync
2024.11.16 09.30,09.30,121,nl.appyhapps.healthsync
2024.11.16 09.45,09.45,517,nl.appyhapps.healthsync
2024.11.16 10.00,10.00,262,nl.appyhapps.healthsync
2024.11.16 10.15,10.15,672,nl.appyhapps.healthsync
2024.11.16 10.30,10.30,90,nl.appyhapps.healthsync
2024.11.16 10.45,10.45,165,nl.appyhapps.healthsync
2024.11.16 11.00,11.00,240,nl.appyhapps.healthsync
2024.11.16 11.15,11.15,245,nl.appyhapps.healthsync
2024.11.16 11.30,11.30,152,nl.appyhapps.healthsync
2024.11.16 11.45,11.45,38,nl.appyhapps.healthsync
2024.11.16 12.15,12.15,51,nl.appyhapps.healthsync
2024.11.16 12.30,12.30,89,nl.appyhapps.healthsync
2024.11.16 12.45,12.45,411,nl.appyhapps.healthsync
2024.11.16 13.00,13.00,165,nl.appyhapps.healthsync
2024.11.16 13.15,13.15,329,nl.appyhapps.healthsync
